word	part_of_speech	category
hector	v	Occupations and Personal Descriptors
unlit	a	Lights, Colors, and Visibility
grille	n	"Words starting with ""G"""
molter	n	Temperature and Heat-Related Terms
gelly	n	Alphabets, Animals, and Games
dreg	n	Negative and Disturbing Adjectives
cilial	a	Anatomical and Biological Terms
verst	n	Actions and Roles
circle	n,v	Actions and Roles
oracle	n	Actions and Roles
sr	n	"""S-"" Words"
natal	a	Nouns and Actions
throne	n,v	Actions and Descriptions
sorgho	n	Food, Cooking, and Ingredients
iodise	v	Chemical Compounds and Reactions
erase	v	Actions and Roles
shitty	a	Negative and Disturbing Adjectives
swob	n,v	Actions and Descriptions
jumbo	a	Alphabets, Animals, and Games
torsk	n	Animals and Animal-Related Terms
awing	a	Actions and Descriptions
sevens	n	Numerals and Mathematical Terms
bakery	n	Food, Cooking, and Ingredients
tetri	n	Numerals and Mathematical Terms
gnaw	v	Nouns and Actions
miaou	n,v	Animals and Animal-Related Terms
anole	n	"Starting with ""A"" or ""E"""
moot	a,n,v	"""M-"" Words"
nailer	n	Occupations and Personal Descriptors
scared	a	Negative and Disturbing Adjectives
amnic	a	"Starting with ""A"" or ""E"""
barbu	n	Animals and Animal-Related Terms
cwt	n	"""C-"" Words and Items"
pad	n,v	"""P-"" Words"
wyvern	n	Animals and Animal-Related Terms
stifle	n,v	Verbs and Actions
blush	n,v	Lights, Colors, and Visibility
hasp	n,v	Actions and Roles
poppin	a	"""P-"" Words"
euro	n	"""L-"" Words"
bunsen	n	"""B-"" Words and Objects"
goblet	n	"Words starting with ""G"""
acarid	n	Medical, Insects, and Skin Conditions
tensor	n	Actions and Roles
unmade	a	Binding, Restraining and Undoing
petal	n	Plant and Tree Species
soja	n	Food, Cooking, and Ingredients
riddle	n,v	Gossip, Deception, and Games
catnap	n,v	Nouns and Actions
popish	a	"""P-"" Words"
bikini	n	Clothing, Materials and Dressing Actions
ptosis	n	Hygiene, Health, and Bodily Functions
slatey	a	Words Related to Shapes and Textures
aigret	n	Animals and Animal-Related Terms
glean	v	Actions and Roles
gain	n,v	Actions and Roles
hack	n,v	"""H-"" Words"
bawdy	a,n	Negative and Disturbing Adjectives
dished	a	"Items, Actions and Concepts Starting with ""D"""
coerce	v	Verbs and Actions
deft	a	Personal Characteristics and Behaviors
aegis	n	Weapons and Cutting Tools
critic	n	Occupations and Personal Descriptors
oxcart	n	"""O-"" Words"
durbar	n	Places and Spaces
delude	v	Gossip, Deception, and Games
quirk	n,v	Negative and Disturbing Adjectives
shell	n,v	Actions and Roles
feist	n	Negative and Disturbing Adjectives
knout	n	Actions and Descriptions
viscid	a	Anatomical and Biological Terms
blaze	n,v	Temperature and Heat-Related Terms
dura	n	"Items, Actions and Concepts Starting with ""D"""
best	a,n,v	Actions and Roles
recap	n,n,v	Verbs of Action and Change
brae	n	"""B-"" Words and Objects"
roofer	n	Places and Spaces
sac	n	"""B-"" Words and Objects"
nude	a,n	Nouns and Actions
hiding	n	Actions and Roles
ozone	n	Chemical Compounds and Reactions
meq	n	"""M-"" Words"
story	n	Gossip, Deception, and Games
maul	n,v	"""M-"" Words"
toffee	n	"""T-"" Words and Pairs"
putout	n	Actions and Roles
mien	n	"""M-"" Words"
wherry	n	Places and Spaces
baton	n	"""B-"" Words and Objects"
cloze	a	"""C-"" Words and Items"
fetid	a	Negative and Disturbing Adjectives
wear	n,v	Clothing, Materials and Dressing Actions
linkup	n	Binding, Restraining and Undoing
lark	n,v	Animals and Animal-Related Terms
reheel	v	Verbs of Action and Change
poler	n	"""P-"" Words"
bark	n,v	"""B-"" Words and Objects"
lichi	n	Plant and Tree Species
kelter	n	Minerals and Geology
funday	n	Lights, Colors, and Visibility
organ	n	Anatomical and Biological Terms
humble	a,v	Personal Characteristics and Behaviors
hookah	n	Food, Cooking, and Ingredients
tutu	n	"""T-"" Words and Pairs"
robust	a	Weight, Strength, and Body Descriptors
smite	v	Actions and Descriptions
roofed	a	Places and Spaces
darkey	n	Lights, Colors, and Visibility
dibs	n	"Items, Actions and Concepts Starting with ""D"""
naan	n	Nouns and Actions
blunt	a,v	Negative and Disturbing Adjectives
crud	n	Actions and Roles
cecity	n	"Starting with ""A"" or ""E"""
borrow	v	Economic and Trade Terms
niggle	v	Nouns and Actions
magic	a,n	"""M-"" Words"
sunup	n	Lights, Colors, and Visibility
hilum	n	"""H-"" Words"
aurous	a	"Starting with ""A"" or ""E"""
trite	a	Personal Characteristics and Behaviors
bopeep	n	"""B-"" Words and Objects"
noisy	a	Personal Characteristics and Behaviors
daraf	n	Actions and Roles
burbly	a	Lights, Colors, and Visibility
martyr	n,v	Occupations and Personal Descriptors
viva	n	Verbs of Action and Change
finder	n	Actions and Roles
shrew	n	Animals and Animal-Related Terms
goosey	a	"Words starting with ""G"""
aria	n	"Starting with ""A"" or ""E"""
cooter	n	"""C-"" Words and Items"
incest	n	Gender, Family and Greetings
slur	n,v	Words Related to Shapes and Textures
unlace	v	Binding, Restraining and Undoing
torpor	n	Emotional and Physical States
sheeny	a,n	Actions and Descriptions
undine	n	Nouns and Actions
sunder	v	"""P-"" Words"
lonely	a	Actions and Roles
retch	n,v	Words Related to Shapes and Textures
spear	n,v	Weapons and Cutting Tools
tayra	n	Animals and Animal-Related Terms
hemin	n	"""H-"" Words"
sum	n,v	"""S-"" Words"
mare	n,n	"""M-"" Words"
doll	n	"Items, Actions and Concepts Starting with ""D"""
tying	n	Binding, Restraining and Undoing
pied	a	"""P-"" Words"
prod	n,v	Actions and Roles
arum	n	Plant and Tree Species
gawp	v	Actions and Roles
storey	n	Gossip, Deception, and Games
powder	n,v	Minerals and Geology
battue	n	"""B-"" Words and Objects"
marshy	a	Negative and Disturbing Adjectives
rotgut	n	Food, Cooking, and Ingredients
tapper	n	"""T-"" Words and Pairs"
crock	n,v	"""C-"" Words and Items"
cresol	n	Chemical Compounds and Reactions
inula	n	Plant and Tree Species
cloudy	a	Negative and Disturbing Adjectives
fibrin	n	Clothing, Materials and Dressing Actions
wort	n	Actions and Roles
fob	n,v	Negative and Disturbing Adjectives
logic	n	Actions and Roles
phoney	a,n	Gossip, Deception, and Games
angst	n	Emotional and Physical States
ruck	n,v	"""R-"" Words and Rotational Movements"
podsol	n	Minerals and Geology
optic	a,n	"""O-"" Words"
detox	n,v	Hygiene, Health, and Bodily Functions
redeye	n	Verbs of Action and Change
select	a,v	Actions and Roles
ordure	n	Negative and Disturbing Adjectives
mart	n	"""M-"" Words"
bruin	n	Lights, Colors, and Visibility
pichi	n	"""P-"" Words"
anise	n	Food, Cooking, and Ingredients
chaja	n	Actions and Descriptions
bay	a,n,v	Places and Spaces
hush	n,v	Personal Characteristics and Behaviors
dowdy	a,n	Negative and Disturbing Adjectives
k	a,n	Numerals and Mathematical Terms
jib	n,v	Actions and Descriptions
plaice	n	Words Related to Shapes and Textures
recipe	n	Actions and Roles
protip	n	"""T-"" Words and Pairs"
rival	a,n,v	Verbs and Actions
amaze	v	Negative and Disturbing Adjectives
ridgel	n	"""R-"" Words and Rotational Movements"
while	n	Actions and Roles
genre	n	Actions and Roles
quest	n,v	Actions and Roles
sleet	n,v	Words Related to Shapes and Textures
armet	n	Weapons and Cutting Tools
photo	n	Actions and Roles
feijoa	n	Plant and Tree Species
ratel	n	"""R-"" Words and Rotational Movements"
podgy	a	Weight, Strength, and Body Descriptors
magnum	n	"""M-"" Words"
ogre	n	"Words starting with ""G"""
range	n,v	Actions and Roles
wiring	n	Binding, Restraining and Undoing
brim	n,v	"""B-"" Words and Objects"
hexose	n	Chemical Compounds and Reactions
noddle	n	Actions and Descriptions
loins	n	"""L-"" Words"
lucent	a	Lights, Colors, and Visibility
golden	a	Lights, Colors, and Visibility
fort	n,v	Negative and Disturbing Adjectives
espial	n	Actions and Roles
macron	n	"""M-"" Words"
pitted	a	"""P-"" Words"
shove	n,v	"Items, Actions and Concepts Starting with ""D"""
school	n,v	Places and Spaces
scurfy	a	Words Related to Shapes and Textures
cargo	n	Modes of Transportation and Travel
amide	n	"Starting with ""A"" or ""E"""
opiate	n	Food, Cooking, and Ingredients
atomic	a	Chemical Compounds and Reactions
seance	n	"""S-"" Words"
tired	a	Emotional and Physical States
push	n,v	"""P-"" Words"
socle	n	Body Parts and Related Terms
hyaena	n	Animals and Animal-Related Terms
strew	v	Words Related to Shapes and Textures
diary	n	Emotional and Physical States
writhe	v	Actions and Descriptions
nay	n	Nouns and Actions
noncom	n	Nouns and Actions
dapper	a	Praise and Positivity
shifty	a	Negative and Disturbing Adjectives
vizier	n	Actions and Roles
biggin	n	"""B-"" Words and Objects"
scoot	v	Words Related to Shapes and Textures
boa	n	"""B-"" Words and Objects"
arbor	n	Places and Spaces
gabby	a	"Words starting with ""G"""
macro	a,n	"""M-"" Words"
coat	n,v	Clothing, Materials and Dressing Actions
unlock	v	Actions and Roles
error	n	"Starting with ""A"" or ""E"""
drab	a,n	Emotional and Physical States
keeled	a	Body Parts and Related Terms
som	n	"""S-"" Words"
corozo	n	Animals and Animal-Related Terms
clump	n,v	"""C-"" Words and Items"
mentee	n	Actions and Roles
kelpy	n	Animals and Animal-Related Terms
wispy	a	Actions and Descriptions
outwit	v	Actions and Descriptions
lien	n,n	Binding, Restraining and Undoing
enema	n	Hygiene, Health, and Bodily Functions
flier	n	Negative and Disturbing Adjectives
widget	n	Actions and Descriptions
viral	a	Medical, Insects, and Skin Conditions
fries	n	Food, Cooking, and Ingredients
wiggle	n,v	Actions and Descriptions
dive	n,v	Places and Spaces
rock	n,v	"""R-"" Words and Rotational Movements"
canyon	n	Places and Spaces
risky	a	Negative and Disturbing Adjectives
dryad	n	"Items, Actions and Concepts Starting with ""D"""
timucu	n	"""T-"" Words and Pairs"
coccyx	n	Anatomical and Biological Terms
dassie	n	Animals and Animal-Related Terms
sorry	a	Verbs and Actions
oedema	n	Medical, Insects, and Skin Conditions
ninth	a,n	Numerals and Mathematical Terms
guide	n,v	Actions and Roles
jamb	n	Alphabets, Animals, and Games
quango	n	Actions and Descriptions
basil	n	Food, Cooking, and Ingredients
bends	n	"""B-"" Words and Objects"
fox	n,v	Negative and Disturbing Adjectives
fuji	n	Negative and Disturbing Adjectives
mummer	n	"""M-"" Words"
jocose	a	Praise and Positivity
frock	n,v	Clothing, Materials and Dressing Actions
saber	n,v	"""S-"" Words"
orache	n	"""O-"" Words"
make	n,v	Actions and Roles
many	a	Actions and Roles
wages	n	Economic and Trade Terms
goof	n,v	"Words starting with ""G"""
clawed	a	Body Parts and Related Terms
usury	n	Economic and Trade Terms
works	n	Actions and Roles
artful	a	Personal Characteristics and Behaviors
lxxv	a	Numerals and Mathematical Terms
family	n	Gender, Family and Greetings
rings	n	"""R-"" Words and Rotational Movements"
zag	n	Alphabets, Animals, and Games
guest	n	Actions and Roles
pallet	n	"""P-"" Words"
eased	a	Personal Characteristics and Behaviors
menage	n	"""M-"" Words"
intima	n	Anatomical and Biological Terms
pliant	a	Verbs and Actions
camper	n	"""C-"" Words and Items"
dowel	n	Weapons and Cutting Tools
bedder	n	Economic and Trade Terms
lerot	n	"""L-"" Words"
slews	n	Words Related to Shapes and Textures
binge	n,v	"""B-"" Words and Objects"
quaff	n,v	Hygiene, Health, and Bodily Functions
algae	n	Animals and Animal-Related Terms
nocent	a	Personal Characteristics and Behaviors
lunch	n,v	Food, Cooking, and Ingredients
nigh	a	Nouns and Actions
latch	n,v	Actions and Roles
please	v	Verbs and Actions
new	a	Nouns and Actions
ski	n,v	Modes of Transportation and Travel
gleam	n,v	Lights, Colors, and Visibility
trout	n	Animals and Animal-Related Terms
suntan	n,v	"""T-"" Words and Pairs"
biped	a,n	Body Parts and Related Terms
sauna	n	Hygiene, Health, and Bodily Functions
durra	n	"Items, Actions and Concepts Starting with ""D"""
trigon	n	"""T-"" Words and Pairs"
wooded	a	Plant and Tree Species
ring	n,v	"""R-"" Words and Rotational Movements"
daybed	n	Places and Spaces
casbah	n	Islamic and Middle Eastern Terms
nab	v	Nouns and Actions
hearts	n	"""H-"" Words"
scaled	a	Words Related to Shapes and Textures
alidad	n	"Starting with ""A"" or ""E"""
sunbae	n	Gender, Family and Greetings
abrupt	a	Fast-Paced and Intense Activities and States
unguis	n	Medical, Insects, and Skin Conditions
coupe	n	Crimes, Violence and Misdeeds
hakim	n	"""H-"" Words"
damson	n	"Items, Actions and Concepts Starting with ""D"""
toad	n	Animals and Animal-Related Terms
roc	n	"""R-"" Words and Rotational Movements"
emboss	v	"Starting with ""A"" or ""E"""
pimp	n,v	Occupations and Personal Descriptors
teredo	n	"""T-"" Words and Pairs"
tetryl	n	Numerals and Mathematical Terms
puppy	n	Animals and Animal-Related Terms
silvan	a,n	"""S-"" Words"
amused	a	Negative and Disturbing Adjectives
forge	n,v	Actions and Roles
blanch	v	Lights, Colors, and Visibility
react	v	Actions and Roles
filled	a	Negative and Disturbing Adjectives
comber	n	"""C-"" Words and Items"
defat	v	"Items, Actions and Concepts Starting with ""D"""
tongue	n,v	"""T-"" Words and Pairs"
crewet	n	"""C-"" Words and Items"
rouse	v	Verbs and Actions
true	a,n,v	Gossip, Deception, and Games
spurge	n	Words Related to Shapes and Textures
pubis	n	Anatomical and Biological Terms
ketose	n	Chemical Compounds and Reactions
rumor	n,v	Gossip, Deception, and Games
trunks	n	Body Parts and Related Terms
steer	n,v	Modes of Transportation and Travel
post	n,v	Actions and Roles
surly	a	Emotional and Physical States
nerita	n	Animals and Animal-Related Terms
donor	n	Actions and Roles
vista	n	Actions and Roles
kind	a,n	Animals and Animal-Related Terms
tabi	n	"""T-"" Words and Pairs"
baya	n	"""B-"" Words and Objects"
besot	v	"""B-"" Words and Objects"
bigamy	n	"""T-"" Words and Pairs"
fidget	n,v	Actions and Descriptions
clast	n	"""C-"" Words and Items"
gear	n,v	Actions and Roles
anele	v	"Starting with ""A"" or ""E"""
ruse	n	Gossip, Deception, and Games
hoop	n,v	"""H-"" Words"
kaffir	n	Islamic and Middle Eastern Terms
beget	v	Verbs and Actions
septet	n	Numerals and Mathematical Terms
woodsy	a	Plant and Tree Species
stuff	n,v	Actions and Roles
tray	n	"Items, Actions and Concepts Starting with ""D"""
aviate	v	"Starting with ""A"" or ""E"""
female	a,n	Gender, Family and Greetings
stave	n,v	Words Related to Shapes and Textures
verify	v	Actions and Roles
galled	a	"Words starting with ""G"""
trojan	n	"""T-"" Words and Pairs"
snarf	v	Nouns and Actions
folie	n	Food, Cooking, and Ingredients
gel	n,v	Alphabets, Animals, and Games
coaxer	n	Binding, Restraining and Undoing
worst	a,n,v	Emotional and Physical States
badass	a,n	Occupations and Personal Descriptors
octant	n	Numerals and Mathematical Terms
haick	n	"""H-"" Words"
loafer	n	Occupations and Personal Descriptors
newsy	a	Nouns and Actions
demur	n,v	Personal Characteristics and Behaviors
amazon	n	Communication and Media
dogleg	n	Body Parts and Related Terms
vial	n	Food, Cooking, and Ingredients
drawee	n	Economic and Trade Terms
manioc	n	Food, Cooking, and Ingredients
unreel	v	Verbs of Action and Change
toil	n,v	Actions and Roles
bate	v	"""B-"" Words and Objects"
pug	n	Animals and Animal-Related Terms
chap	n,v	Occupations and Personal Descriptors
orator	n	"""O-"" Words"
octave	n	Numerals and Mathematical Terms
thymol	n	Chemical Compounds and Reactions
bestir	v	Verbs and Actions
bolti	n	"""B-"" Words and Objects"
sent	a,n	Communication and Media
tourer	n	Modes of Transportation and Travel
talker	n	Communication and Media
quetch	v	Actions and Descriptions
luteal	a	"""L-"" Words"
few	a,n	Actions and Roles
jaeger	n	Animals and Animal-Related Terms
waxy	a	Clothing, Materials and Dressing Actions
rabble	n	"""R-"" Words and Rotational Movements"
orate	v	"""O-"" Words"
viands	n	Food, Cooking, and Ingredients
choc	n	Actions and Descriptions
shaded	a	Lights, Colors, and Visibility
motion	n,v	Modes of Transportation and Travel
tug	n,v	"""T-"" Words and Pairs"
doxy	n	"Items, Actions and Concepts Starting with ""D"""
rimu	n	Plant and Tree Species
salad	n	"""S-"" Words"
slink	v	Actions and Descriptions
mucosa	n	Anatomical and Biological Terms
tipped	a	"""T-"" Words and Pairs"
depths	n	Places and Spaces
reagin	n	"""R-"" Words and Rotational Movements"
ocelot	n	Animals and Animal-Related Terms
prank	n,v	Gossip, Deception, and Games
neve	n	Temperature and Heat-Related Terms
yacht	n,v	Places and Spaces
spec	n	Actions and Roles
pixie	n	"""P-"" Words"
helmet	n	"""C-"" Words and Items"
suck	n,v	Nouns and Actions
lxii	a	Numerals and Mathematical Terms
okapi	n	Animals and Animal-Related Terms
hated	a	Verbs and Actions
hooey	n	Gossip, Deception, and Games
wage	n,v	Economic and Trade Terms
thyrse	n	Actions and Descriptions
fugue	n	Negative and Disturbing Adjectives
simmer	n,v	Food, Cooking, and Ingredients
lentic	a	Temperature and Heat-Related Terms
zone	n,v	Actions and Roles
steady	a,n,v	Words Related to Shapes and Textures
tear	n,n,v,v	Emotional and Physical States
bulb	n	Lights, Colors, and Visibility
eager	a,n	Fast-Paced and Intense Activities and States
bock	n	"""B-"" Words and Objects"
cantle	n	Places and Spaces
appose	v	"Starting with ""A"" or ""E"""
barbed	a	"""B-"" Words and Objects"
gurney	n	Body Parts and Related Terms
twirp	n,v	"""T-"" Words and Pairs"
benign	a	Personal Characteristics and Behaviors
lamb	n,v	Animals and Animal-Related Terms
nett	a,v	Binding, Restraining and Undoing
fazed	a	Negative and Disturbing Adjectives
cyder	n	Food, Cooking, and Ingredients
topic	n	Actions and Roles
equipt	a	Actions and Roles
flow	n,v	Negative and Disturbing Adjectives
kino	n	Communication and Media
refit	n,v	Verbs of Action and Change
geared	a	Actions and Roles
venter	n	Actions and Roles
logjam	n	Alphabets, Animals, and Games
bps	n	"""B-"" Words and Objects"
slice	n,v	Words Related to Shapes and Textures
pitman	n	Occupations and Personal Descriptors
cordon	n	Binding, Restraining and Undoing
ebbing	n	Emotional and Physical States
unlax	v	Binding, Restraining and Undoing
affray	n	Negative and Disturbing Adjectives
mixer	n	Actions and Roles
uncoil	v	Binding, Restraining and Undoing
lump	n,v	"""L-"" Words"
hole	n,v	"""H-"" Words"
zep	n	Alphabets, Animals, and Games
slick	a,n,v	Personal Characteristics and Behaviors
